,City,Title,Company,Location,Summary,Salary,URL
232,Seattle,DSHS Customer Service Specialist 2,State of Washington Dept. of Social and Health Ser...,"Seattle, WA",Employees driving on state business must have a valid driver's license. Answer incoming telephone calls on a multiple phone line system....,,http://indeed.com/rc/clk?jk=9df6e3e2dfc32b30&fccid=4bb4a98ffe880354&vjs=3
233,Seattle,HRIS Analyst,Zillow Group,"Seattle, WA","3+ years’ experience in HR field. Continually seek opportunities for driving greater impact through our HR system, Workday....",,http://indeed.com/rc/clk?jk=d05cdeaf476a71ff&fccid=913e1b259c8d65e2&vjs=3
234,Seattle,"Policy Analyst (Strategic Advisor-I, Exempt)",City of Seattle,"Seattle, WA","A graduate degree in public policy/administration, law, criminal justice, or other relevant field. The Office ensures that the actions of SPD employees are...",,http://indeed.com/rc/clk?jk=f0f42d1c5542e209&fccid=7ab02d0382dcd5b4&vjs=3
235,Seattle,Help Wanted,Sound Credit Union,"Seattle, WA","Now hiring at 820 Stewart Street #1,...",,http://indeed.com/rc/clk?jk=f21b9e4cc4a2d3cb&fccid=e2c27056fccd0d67&vjs=3
236,Seattle,Human Resources Assistant,SightLife,"Seattle, WA 98101 (Downtown area)","Responds to phone calls and requests for information. Provides support to ensure compliance with local, state, and federal employment laws and regulations....",,http://indeed.com/rc/clk?jk=7e6f36ba9564ca62&fccid=4ae6cbe775463be3&vjs=3
237,Seattle,Reservations Agent - Call Center and Work from Home Program,Alaska Airlines,"Kent, WA 98030",Responsible for assisting customers with travel requests by answering incoming calls and matching the features and benefits of Alaska Airlines to the needs of...,,http://indeed.com/rc/clk?jk=5687ff957a811c95&fccid=4cdc512b3763b02a&vjs=3
238,Seattle,School Secretary,Lake Washington School District,"Redmond, WA 98052",All general administrative support positions are expected to perform common office procedures such as answering phones; Word processing or data entry;...,,http://indeed.com/rc/clk?jk=18db5160660f3fad&fccid=ab6ad4f15601391d&vjs=3
239,Seattle,Help Wanted,Tyee High School,"SeaTac, WA","Now hiring at 4424 South 188th Street,...",,http://indeed.com/rc/clk?jk=8b5b070a95c46578&fccid=db0045a605df37a7&vjs=3
240,Seattle,"Paralegal 2, Counsel for Environmental Protection, Attorney General's Office",State of Washington Attorney General's Office,"Seattle, WA","A background check consisting of employment history, professional references and educational verification (e.g., degree, license, or official transcript) may be...",,http://indeed.com/rc/clk?jk=772dfe465733d9af&fccid=4bb4a98ffe880354&vjs=3
241,Seattle,Seattle Parks and Rec: O2 Program Specialist,AmeriCorps,"Seattle, WA","Available to serve weekends Valid WA Driver’s license Program Benefits :. Backpacking, rock climbing, canoeing, kayaking, snow shoeing and camping Self...",,http://indeed.com/rc/clk?jk=d95f40e4d23e8b92&fccid=e87c07079f6e369f&vjs=3
